,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,x-tsne,y-tsne,x-bin,y-bin
12,-0.4346289,0.23028757,1.0630078,0.701754,0.7611372,-1.5834595,0.65768474,1.0194151,0.09395901,-0.1070358,1.5610952,-1.2736845,-1.9716263,-1,-1
13,-0.39826354,0.39886612,1.063117,0.69197816,0.8801266,-1.5107358,0.68982047,1.1268712,0.09389213,-0.07225876,1.533176,-1.3955531,-1.9522233,-1,-1
14,-0.3608929,0.5842394,1.0630168,0.6854917,0.99774426,-1.4454153,0.69220674,1.2340908,0.08974466,-0.03367727,1.5249346,-1.508933,-1.9350387,-1,-1
15,-0.32250673,0.7796773,1.0624257,0.6876473,1.0794,-1.521519,0.72293794,1.2511666,0.083061785,0.11922359,0.64416367,-2.0874012,-1.5623021,-2,-1
16,-0.28334877,0.975271,1.0616889,0.7005962,1.1080666,-1.5749143,0.71794784,1.2416228,0.08520736,0.20489986,0.16045575,-2.464124,-1.3416097,-2,-1
17,-0.24518116,1.163143,1.061131,0.71696126,1.1099508,-1.6258107,0.69182503,1.1531332,0.087167375,0.19745307,-0.07411219,-2.6367242,-1.2204134,-2,-1
18,-0.20927085,1.3338534,1.060659,0.7285109,1.0995495,-1.669203,0.6445767,1.0202476,0.08742004,0.09892605,-0.17196928,-2.7774866,-1.0995618,-2,-1
19,-0.1762693,1.4788864,1.0601395,0.72923034,1.0847193,-1.7228048,0.59564364,0.8255245,0.08628884,-0.04430551,-0.19706245,-2.916858,-0.9525058,-2,0
20,-0.14622079,1.591463,1.0595192,0.7164459,1.0695227,-1.7797608,0.5459827,0.60801506,0.08513552,-0.20354979,-0.18612736,-3.0591066,-0.793753,-3,0
21,-0.11918821,1.670386,1.058835,0.689657,1.0558647,-1.8340818,0.4948282,0.3976418,0.084743686,-0.35812306,-0.15974578,-3.1892147,-0.677425,-3,0
22,-0.09529132,1.718815,1.0581664,0.6501054,1.0444566,-1.8800706,0.4411365,0.22007756,0.085354485,-0.48960352,-0.12912603,-3.3124387,-0.58713675,-3,0
23,-0.07470194,1.743487,1.0575947,0.6005136,1.0353771,-1.9129268,0.38433656,0.09528221,0.08682815,-0.58319604,-0.09997455,-3.427771,-0.54456204,-3,0
24,-0.057597917,1.7537439,1.0571721,0.5447262,1.0283614,-1.9291594,0.32471365,0.03653446,0.08868628,-0.6285338,-0.07567652,-3.4841723,-0.5009311,-3,0
25,-0.044116355,1.759458,1.0568994,0.48687416,1.0230321,-1.9300494,0.2633937,0.03742211,0.09027114,-0.6295303,-0.056193344,-3.502147,-0.44587955,-3,0
26,-0.034313545,1.7677627,1.0567311,0.42999917,1.0190371,-1.9227638,0.20182733,0.06953071,0.09114452,-0.60666925,-0.04097069,-3.4946592,-0.38327074,-3,0
27,-0.028178107,1.7816939,1.0566052,0.37544265,1.0160748,-1.9135007,0.14078277,0.10908536,0.091327086,-0.5775767,-0.0293003,-3.4836817,-0.3151231,-3,0
28,-0.025675911,1.8016368,1.0564752,0.3234132,1.0138983,-1.9049681,0.08040532,0.14606316,0.09110353,-0.5500261,-0.020487223,-3.4972744,-0.2567834,-3,0
29,-0.02676744,1.8269286,1.0563186,0.27364868,1.0123115,-1.8981191,0.020612737,0.17714971,0.09074589,-0.52680564,-0.013913284,-3.499163,-0.18700336,-3,0
30,-0.031422757,1.856632,1.0561316,0.22574915,1.0111625,-1.8930384,-0.03873035,0.20217706,0.09040582,-0.50821763,-0.009059599,-3.4962509,-0.10437888,-3,0
31,-0.03961851,1.8899583,1.0559164,0.17936994,1.0103353,-1.8891582,-0.09774216,0.22322746,0.09010301,-0.4927245,-0.0055075795,-3.5337389,-0.038644806,-3,0
32,-0.051337335,1.9265119,1.0556725,0.13433753,1.0097427,-1.8856347,-0.15648916,0.24323814,0.089761406,-0.47802866,-0.0029282325,-3.5630004,0.028330654,-3,0
33,-0.06656307,1.9662671,1.0553913,0.090646885,1.00932,-1.8819189,-0.21499285,0.26399195,0.08927515,-0.4626502,-0.0010673057,-3.5739813,0.1013125,-3,0
34,-0.08528313,2.0093277,1.0550563,0.0483595,1.0090194,-1.8780016,-0.2732646,0.28534794,0.0885672,-0.44657743,0.00026868272,-3.609001,0.1754753,-3,0
35,-0.107483156,2.0556889,1.0546465,0.007498052,1.0088066,-1.8742068,-0.33133027,0.30606198,0.08761224,-0.43068978,0.0012243591,-3.62122,0.25361258,-3,0
36,-0.13315237,2.1051526,1.054141,-0.031995617,1.0086561,-1.8708814,-0.3892298,0.32490724,0.08642933,-0.41591716,0.0019060083,-3.6417108,0.32040492,-3,0
37,-0.16228178,2.1573846,1.0535225,-0.07024055,1.0085504,-1.8681909,-0.4470029,0.34137183,0.085065365,-0.4026991,0.0023907428,-3.66986,0.38001484,-3,0
38,-0.19485642,2.2054062,1.0506728,-0.107249096,1.0084764,-1.8728243,-0.5043874,0.2708323,0.034820884,-0.38818532,0.0027379089,-3.6852121,0.46640176,-3,0
39,-0.23081523,2.2479548,1.043313,-0.1403989,1.0084231,-1.8556955,-0.5600545,0.2716428,-0.018636463,-0.31627682,0.0029390557,-3.6924982,0.5629029,-3,0
40,-0.27007738,2.2845428,1.029084,-0.16662033,1.0083834,-1.8420974,-0.6148537,0.19511634,-0.12307922,-0.23288627,0.0030931928,-3.7056959,0.6868482,-3,0
41,-0.31255662,2.312751,1.0048728,-0.18260698,1.0083523,-1.8071934,-0.66763705,0.1649859,-0.24814564,-0.086918786,0.0031686635,-3.723629,0.84934247,-3,0
42,-0.35817873,2.3329103,0.967979,-0.18445003,1.0083264,-1.7691998,-0.7200539,0.092821814,-0.4146685,0.08415443,0.003229886,-3.7491624,1.0724564,-3,1
43,-0.4069383,2.3462865,0.9165202,-0.16897142,1.0083039,-1.7139368,-0.77276057,0.07868396,-0.5830631,0.30135337,0.003256555,-3.7803075,1.3494518,-3,1
44,-0.45893475,2.3568397,0.85012484,-0.13394366,1.0082839,-1.6596458,-0.82849187,0.057004903,-0.7581225,0.5224116,0.0032935136,-3.8238492,1.6775849,-3,1
45,-0.514398,2.3637273,0.76853305,-0.07932507,1.0082668,-1.6087115,-0.88887304,0.03215755,-0.93250316,0.7405482,0.0033325416,-3.8651538,2.00722,-3,2
46,-0.5736508,2.3635044,0.67135215,-0.006000339,1.0082532,-1.569212,-0.9553215,-0.03330245,-1.1165776,0.941773,0.0033776157,-3.903376,2.3163033,-3,2
47,-0.63707626,2.3523896,0.5583624,0.084746525,1.0082427,-1.5375518,-1.0284663,-0.106272176,-1.2960263,1.1311105,0.0034139086,-3.9412606,2.5707185,-3,2
48,-0.7050816,2.327859,0.43010017,0.19109246,1.0082352,-1.5202522,-1.1084013,-0.2038413,-1.4677755,1.2914653,0.0034549155,-3.9747005,2.7697372,-3,2
49,-0.77803624,2.2882018,0.28823674,0.30996087,1.0082313,-1.5173147,-1.1936927,-0.29864454,-1.6088326,1.4118363,0.0035017484,-4.006045,2.9172897,-4,2
50,-0.8561689,2.234331,0.1361408,0.43700773,1.0081854,-1.5312182,-1.2810789,-0.38469526,-1.7031558,1.4748214,0.0025224711,-4.0347114,3.0410635,-4,3
51,-0.93948567,2.1683974,-0.021718254,0.56687605,1.0080373,-1.5599744,-1.3664707,-0.45220122,-1.7414702,1.4751282,0.00096537644,-4.065969,3.1397915,-4,3
52,-1.02776,2.0934472,-0.18062595,0.69425035,1.0077703,-1.599295,-1.4463438,-0.4995319,-1.7273829,1.4189768,-0.00052911707,-4.0989237,3.2363937,-4,3
53,-1.1201185,1.9954455,-0.33562958,0.8063734,1.0074109,-1.7556274,-1.4738841,-0.98556566,-1.6309414,0.92987734,-0.0013675238,-4.2690163,3.6079822,-4,3
54,-1.2057369,1.7873453,-0.4798488,0.85784507,1.0069554,-1.6913128,-1.2619389,-1.5764633,-1.5081755,0.32739878,-0.0030875332,-4.649882,4.3828855,-4,4
55,-1.2806304,1.5229616,-0.6144799,0.87054956,1.0061108,-1.5383371,-1.1135362,-1.7374547,-1.4064898,0.031639338,-0.012252943,-4.8382945,4.7203526,-4,4
56,-1.3481165,1.2522776,-0.7404313,0.86482483,1.002226,-1.3707819,-1.0125656,-1.6778321,-1.306192,-0.10178271,-0.08069445,-4.975314,4.9290295,-4,4
57,-1.4107624,0.996665,-0.8585145,0.8513428,0.9909559,-1.229045,-0.95041555,-1.5579326,-1.2241277,-0.15109463,-0.20300591,-5.1164956,5.1154957,-5,5
58,-1.4706702,0.75754887,-0.97068965,0.83555204,0.9675705,-1.1406615,-0.9202038,-1.4750266,-1.1694485,-0.15840963,-0.39432558,-5.2664504,5.2849298,-5,5
59,-1.5295787,0.5290739,-1.0780482,0.81916046,0.92737556,-1.1092979,-0.9163174,-1.4272627,-1.1128923,-0.169005,-0.6388134,-5.4271407,5.448901,-5,5
60,-1.5887254,0.3074811,-1.1782962,0.7987361,0.86828476,-1.1189404,-0.92600065,-1.3856246,-1.0070747,-0.2504035,-0.8859019,-5.583307,5.5963225,-5,5
61,-1.6476394,0.10399966,-1.265561,0.7696929,0.7916626,-1.0951899,-0.8248306,-1.1472224,-0.82061946,-0.3277959,-1.0119523,-5.7851787,5.7475147,-5,5
62,-1.6904162,-0.03968124,-1.337101,0.74103856,0.71822256,-0.9782928,-0.47461224,-0.6847627,-0.6392506,-0.27920052,-0.89225584,-6.122721,5.942356,-6,5
63,-1.7147914,-0.10927971,-1.399756,0.72600293,0.65163916,-0.82231843,-0.2106149,-0.20459835,-0.615839,-0.022857795,-0.83491355,-6.434406,6.0756507,-6,6
64,-1.725861,-0.12315308,-1.470423,0.7392785,0.5872709,-0.68023694,-0.030160965,0.024804272,-0.8229183,0.35576925,-0.83455455,-6.6049986,6.1445336,-6,6
65,-1.7267962,-0.14748552,-1.5637504,0.7754528,0.5219651,-0.715146,0.15488093,-0.5458638,-1.1184158,0.3369344,-0.84477395,-6.5770407,6.150878,-6,6
66,-1.7156636,-0.29407847,-1.678681,0.79414797,0.45588207,-0.8053025,0.3480242,-1.2955754,-1.3409839,0.14125912,-0.86709404,-6.569457,6.19055,-6,6
67,-1.6931992,-0.493561,-1.7968072,0.7999396,0.38685632,-0.77657294,0.53552854,-1.2289551,-1.1915497,0.03909564,-0.9200756,-6.74083,6.2377963,-6,6
68,-1.6599419,-0.6575496,-1.8961636,0.79923856,0.31276998,-0.69824505,0.71031123,-0.85073966,-0.90892315,-0.00945875,-0.99725455,-7.0207667,6.2412176,-7,6
69,-1.6166136,-0.7528154,-1.9689018,0.79566216,0.23199536,-0.59965944,0.8731747,-0.35889256,-0.579072,-0.028417464,-1.0925508,-7.5775194,6.178437,-7,6
70,-1.563922,-0.7721506,-2.0134768,0.7911666,0.14333925,-0.5014374,1.0239409,0.11271669,-0.26099244,-0.03183911,-1.2008659,-8.349706,6.0413876,-8,6
71,-1.5027461,-0.73627377,-2.0354877,0.7865382,0.045974184,-0.43700588,1.1570853,0.34295455,-0.05989979,-0.03180287,-1.3178836,-8.688029,5.968476,-8,5
72,-1.4339294,-0.6746884,-2.042508,0.7819269,-0.06067198,-0.39342836,1.2795175,0.43993518,0.08385063,-0.03149118,-1.4412224,-8.893918,5.9037557,-8,5
73,-1.3576822,-0.6049456,-2.0366826,0.77516276,-0.17684282,-0.37414926,1.4059029,0.4449694,0.23567554,-0.081202805,-1.5644059,-9.075008,5.827398,-9,5
74,-1.272813,-0.54716444,-2.013456,0.7553417,-0.30188718,-0.4132522,1.5679709,0.2890934,0.4838328,-0.3238232,-1.6706865,-9.36931,5.655546,-9,5
75,-1.1776732,-0.48387253,-1.9586091,0.7127963,-0.4350922,-0.41127828,1.7481508,0.51514107,0.9627527,-0.5907958,-1.7462162,-10.092872,5.222585,-10,5
76,-1.0727283,-0.42011377,-1.8725046,0.64712477,-0.576573,-0.48436552,1.8946639,0.29548603,1.2031924,-0.8424031,-1.7462162,-10.576219,4.903034,-10,4
77,-0.9589673,-0.36039212,-1.7557905,0.55847675,-0.7267472,-0.52872735,2.041304,0.463986,1.6666588,-1.1060201,-1.7462162,-12.831555,3.5651228,-12,3
78,-0.8374914,-0.2879686,-1.6026235,0.44657063,-0.88625354,-0.6275522,2.1513505,0.45821235,2.0417132,-1.363821,-1.7462162,-13.420548,3.2124066,-13,3
79,-0.7101656,-0.20473862,-1.4132141,0.3114171,-1.0558188,-0.73731124,2.2363427,0.604107,2.4996605,-1.6274905,-1.7462162,-14.144027,2.8071904,-14,2
80,-0.5794737,-0.09430945,-1.1835703,0.15214334,-1.236871,-0.87083906,2.238255,0.8324987,2.965407,-1.9170882,-1.7462162,-15.010832,2.3963132,-15,2
81,-0.45215985,0.05694593,-0.9144003,-0.034510784,-1.4349879,-1.0352916,2.1485848,1.0935206,3.4102013,-2.2267625,-1.7462162,-18.382189,3.4296858,-18,3
82,-0.33147848,0.24232264,-0.60875,-0.24816762,-1.6511674,-1.2352688,2.007666,1.2837304,3.591062,-2.4576502,-1.7462162,-18.77904,3.107881,-18,3
83,-0.22467081,0.48649976,-0.27051026,-0.49445313,-1.7966917,-1.3136574,1.7121822,1.7996542,3.591062,-2.4576502,-1.1300433,-19.532053,2.3915973,-19,2
84,-0.13373555,0.7849204,0.083009616,-0.7602804,-1.8459588,-1.3381001,1.4735847,1.979796,3.591062,-2.4576502,-0.24137245,-20.47263,1.5175704,-20,1
85,-0.054790355,1.1300455,0.4318016,-1.0123787,-1.846069,-1.2106802,1.3114172,2.3974566,3.591062,-2.4576502,0.18854275,-20.764967,1.1338879,-20,1
86,0.015578882,1.5399843,0.7753392,-1.2370583,-1.8222994,-1.096438,1.1813525,2.814197,3.591062,-2.3603337,0.43309402,-20.937593,1.0039877,-20,1
87,0.07709134,1.9846084,1.1201553,-1.4528439,-1.7793539,-1.2467458,1.0054607,1.8960587,3.5408802,-2.402516,0.69109493,-20.986115,0.70739484,-20,0
88,0.12912253,1.9788203,1.3170977,-1.6559118,-1.7161869,-1.5106491,0.8791534,-1.575813,1.397731,-2.126751,0.95194876,-17.698439,-5.897711,-17,-5
89,0.17558767,1.6051408,1.3774878,-1.829927,-1.633525,-1.4923826,0.81468385,-2.9553978,0.30319515,-1.7447716,1.1972461,-16.76633,-7.66334,-16,-7
90,0.21871658,1.1010268,1.3703775,-1.9719806,-1.5321684,-1.3803096,0.76693696,-3.333677,-0.21095845,-1.406339,1.4370633,-16.370312,-8.14029,-16,-8
91,0.25957558,0.58292085,1.3337377,-2.0848866,-1.4152856,-1.2249173,0.73873305,-3.1910107,-0.408842,-1.0891308,1.6001501,-16.007517,-8.464804,-16,-8
92,0.2993796,0.10913539,1.2878231,-2.169954,-1.290139,-1.0545282,0.7313711,-2.802773,-0.44312477,-0.7809941,1.6516266,-15.494598,-8.821605,-15,-8
93,0.33929798,-0.2943986,1.2427404,-2.2277389,-1.1648997,-0.88222545,0.74210685,-2.3153975,-0.40021014,-0.47677973,1.6027633,-14.765176,-9.232569,-14,-9
94,0.38028753,-0.61853564,1.202937,-2.25848,-1.0463883,-0.71351755,0.7666336,-1.8020934,-0.32730868,-0.1742935,1.4773232,-13.966803,-9.654611,-13,-9
95,0.4230823,-0.8625716,1.1698358,-2.2622352,-0.9404594,-0.55216837,0.8019408,-1.3007216,-0.24886395,0.12846655,1.2766279,-13.264863,-10.003869,-13,-10
96,0.46818948,-1.0293005,1.1433463,-2.2389638,-0.8519258,-0.39770177,0.8434333,-0.8202236,-0.17647637,0.43179464,1.0263417,-9.950935,-9.435981,-9,-9
97,0.515806,-1.1216111,1.1227069,-2.1886322,-0.78304607,-0.24761206,0.88530034,-0.35430533,-0.1147048,0.7353215,0.76701385,-9.197525,-9.928924,-9,-9
98,0.56570804,-1.1404679,1.1069366,-2.1112833,-0.73186034,-0.097031504,0.91926366,0.11428301,-0.06445782,1.0376986,0.56744516,-8.2271805,-10.556542,-8,-10
99,0.6170644,-1.0849819,1.0950489,-2.0074878,-0.69072294,0.054294746,0.93332994,0.591334,-0.025147732,1.3283973,0.5062445,-6.881705,-11.287759,-6,-11
100,0.66879207,-0.9578553,1.0855303,-1.8781108,-0.6531081,0.19368584,0.9312602,1.029114,-0.0077848923,1.6111486,0.47602466,-6.2209196,-11.572445,-6,-11
101,0.7196377,-0.79663366,1.0682414,-1.7247322,-0.62023646,0.26596946,0.9040205,1.0244397,-0.20404051,1.8662866,0.38334456,-5.806374,-11.645999,-5,-11
102,0.7683931,-0.6449835,1.0319756,-1.5494545,-0.59574795,0.31156155,0.86128896,0.90738195,-0.4441343,2.1019962,0.2586977,-5.219604,-11.683477,-5,-11
103,0.81417567,-0.5130129,0.9752587,-1.3541327,-0.58188355,0.34020892,0.80450994,0.7740406,-0.67435735,2.3155391,0.1079061,-4.6218915,-11.691659,-4,-11
104,0.8560795,-0.39879173,0.9009607,-1.1416701,-0.5803791,0.35157624,0.7317861,0.6812719,-0.84851295,2.4861097,-0.06173626,-4.2498846,-11.686635,-4,-11
105,0.89299095,-0.29608336,0.8155716,-0.91821647,-0.5919031,0.331416,0.6384927,0.6267173,-0.92958057,2.4964063,-0.2298354,-4.0340967,-11.678395,-4,-11
106,0.92368966,-0.19809423,0.728596,-0.69407064,-0.6144074,0.2754107,0.5256529,0.61995137,-0.8852394,2.4964063,-0.34639415,-3.8591442,-11.6692705,-3,-11
107,0.947186,-0.09902831,0.650111,-0.48129162,-0.6412233,0.19249973,0.39921132,0.6392528,-0.7345419,2.3067653,-0.3416756,-3.6444306,-11.644203,-3,-11
108,0.96306914,0.012851519,0.58760965,-0.28672078,-0.6611406,0.13414401,0.2711408,0.78257066,-0.51774293,2.093347,-0.16774957,-3.2837956,-11.5823965,-3,-11
109,0.97130203,0.14170355,0.54559135,-0.11583225,-0.66431344,0.051021326,0.14424682,0.8548279,-0.26361048,1.7760242,0.09240657,-2.6189651,-11.400931,-2,-11
110,0.97239894,0.28206235,0.527752,0.024342783,-0.64740217,-0.040280774,0.032484774,0.929243,0.03820623,1.4050751,0.3529727,-1.7639952,-11.018909,-1,-11
111,0.9671766,0.41764072,0.5311626,0.13173403,-0.6104124,-0.14388196,-0.0674876,0.7947369,0.22522561,1.0412693,0.6129518,-1.073838,-10.598489,-1,-10
112,0.9563619,0.5442893,0.55482244,0.20649253,-0.5534385,-0.22997808,-0.1552397,0.8158574,0.50378686,0.6737029,0.8710668,-0.22494906,-9.901404,0,-9
113,0.9405093,0.6791395,0.60434484,0.2484583,-0.47662666,-0.30841476,-0.2366684,0.89920413,0.8199446,0.3062537,1.1272563,0.57187724,-9.11881,0,-9
114,0.9198397,0.8253961,0.6809058,0.25778788,-0.3801284,-0.38789758,-0.31692982,0.96109223,1.1255952,-0.057842825,1.3814466,0.96441615,-8.668851,0,-8
115,0.8942974,0.97521394,0.78216976,0.23487803,-0.26410303,-0.4743983,-0.4001194,0.944672,1.388071,-0.41641644,1.6335088,1.1567165,-8.398807,1,-8
116,0.8636112,1.1170558,0.90461797,0.18021989,-0.12872587,-0.5678903,-0.48942518,0.85977125,1.6127869,-0.7695047,1.7532837,1.2283406,-8.253095,1,-8
117,0.8273219,1.241262,1.0453109,0.09429602,0.02580597,-0.66768277,-0.587932,0.72044766,1.8076383,-1.1172444,1.7532837,1.256402,-8.160971,1,-8
118,0.78505045,1.174204,1.1494936,-0.019470986,0.19947532,-0.93519586,-0.6891557,-1.4925005,0.81854856,-1.3963101,1.7532837,3.150143,4.1140447,3,4
119,0.7372183,0.8914094,1.1864758,-0.1292074,0.39149207,-0.87996787,-0.76972765,-2.000433,0.2777602,-1.0283967,1.7532837,3.1874318,4.289398,3,4
120,0.6850201,0.56877226,1.1896623,-0.20690887,0.6009475,-0.788287,-0.83500797,-2.0462337,0.014811347,-0.6767221,1.7532837,3.2109647,4.44675,3,4
121,0.6293898,0.26015475,1.1773287,-0.25369802,0.82772255,-0.67857945,-0.884361,-1.8496078,-0.09476883,-0.33462602,1.7532837,3.2351031,4.6280847,3,4
122,0.57180756,-0.0063659586,1.159374,-0.26986808,1.06324,-0.5950633,-0.8594649,-1.4984227,-0.123247415,0.030643526,1.7532837,3.2631981,4.908348,3,4
123,0.51965666,-0.2015868,1.1408861,-0.25076982,1.1904389,-0.5462575,-0.76201034,-0.974913,-0.11245692,0.42850736,0.94263786,3.3077192,5.646549,3,5
124,0.4710186,-0.31253898,1.1241485,-0.19787243,1.227775,-0.45742697,-0.73484886,-0.43580312,-0.08560068,0.7919575,0.12778041,3.139305,7.385579,3,7
125,0.42268533,-0.33954522,1.1099993,-0.11346157,1.2206829,-0.3493532,-0.7488571,0.09111638,-0.054287568,1.1367793,-0.25180954,3.0032713,7.9226766,3,7
126,0.3726049,-0.2853318,1.0984141,0.0012121508,1.1944003,-0.23270221,-0.7920224,0.5978274,-0.026891492,1.4713202,-0.394619,2.9181378,8.113352,2,8
127,0.3188439,-0.18478276,1.0886579,0.13237473,1.1622552,-0.22093637,-0.8688666,0.6825528,-0.011224712,1.5069718,-0.41768494,2.909117,8.164355,2,8
128,0.26013303,-0.093107186,1.0803795,0.25724068,1.1308984,-0.28178295,-0.95525944,0.4842107,0.0063867774,1.3306752,-0.38221395,2.930697,8.261489,2,8
129,0.19641715,-0.033523146,1.0739119,0.3657032,1.1033912,-0.34456635,-1.0359367,0.27276102,0.029179798,1.1395907,-0.32241762,2.9627676,8.443466,2,8
130,0.1280765,5.097999e-05,1.0693628,0.46032944,1.0806909,-0.38065773,-1.1102731,0.153064,0.05016174,1.0205867,-0.25962952,2.9902515,8.65243,2,8
131,0.05540265,0.01842464,1.0663725,0.5462753,1.0626324,-0.40199378,-1.1810335,0.08005673,0.06532549,0.94499797,-0.20285776,3.010876,8.810827,3,8
132,-0.021431938,0.026532205,1.0644644,0.6263449,1.0486201,-0.41747198,-1.2494322,0.02314846,0.07539317,0.8888402,-0.15493974,3.0251842,8.940813,3,8
133,-0.10230333,0.026568368,1.0632741,0.702013,1.0379225,-0.42906627,-1.316067,-0.02218524,0.08206579,0.84630096,-0.11675371,3.037329,9.045591,3,9
134,-0.18709837,0.017630773,1.062572,0.7732523,1.0298334,-0.4417762,-1.3602942,-0.14076452,0.08673102,0.6929743,-0.0966445,3.060165,9.197781,3,9
135,-0.26296356,0.06695822,1.0620514,0.81205946,1.0166247,0.11722562,-1.0502857,0.6905857,0.08734799,0.26290172,-0.21151993,2.6084313,17.883432,2,17
136,-0.3219403,0.16718352,1.0594797,0.8102088,0.998392,0.2800137,-0.79213214,0.5430974,0.04664307,-0.24795201,-0.23954062,1.9418794,18.087519,1,18
137,-0.36705226,0.2510968,1.0496652,0.7802401,0.9804542,0.46201572,-0.5864984,0.5070209,-0.083402395,-0.37732366,-0.21130468,1.4482327,18.25538,1,18
138,-0.4013238,0.3145836,1.018919,0.7500559,0.96504855,0.6472728,-0.42922282,0.29437187,-0.43625045,-0.25692427,-0.1769363,0.6363015,18.415665,0,18
139,-0.4276217,0.38554484,0.96627915,0.7371677,0.95061904,0.8889172,-0.31963006,0.60673946,-0.5879007,0.008634195,-0.18731287,0.011798543,18.799913,0,18
140,-0.4487709,0.42873523,0.887379,0.7397259,0.9323428,0.9136373,-0.2582487,-0.05771807,-1.0396026,0.089960024,-0.27613607,-1.413279,18.394331,-1,18
141,-0.4676736,0.49799854,0.8025873,0.7562295,0.906224,1.1278477,-0.2426239,0.9401174,-0.7249259,0.31964728,-0.39199364,-0.5908855,19.195196,0,19
142,-0.48664513,0.5486858,0.7109229,0.77441096,0.8707893,0.94774795,-0.26022208,-0.27587658,-1.1982975,0.14049435,-0.51838636,-1.8182616,18.259169,-1,18
143,-0.5077728,0.52822024,0.6097226,0.78104675,0.82829136,0.9406967,-0.3122049,0.031760227,-0.94518954,0.056216408,-0.57624286,-1.6403319,18.305052,-1,18
144,-0.53246003,0.5282219,0.5200954,0.78204685,0.781767,0.9144587,-0.37674826,-0.020572547,-0.9315152,0.0106789265,-0.62338305,-1.6966132,18.205875,-1,18
145,-0.5611242,0.5122199,0.42813423,0.7802392,0.73120785,0.88527507,-0.44412,-0.17795058,-0.99807525,-0.009259545,-0.68047404,-1.8385078,18.007162,-1,18
146,-0.59380126,0.46474987,0.32786697,0.7773892,0.6750787,0.8489181,-0.5109121,-0.42269057,-1.1222407,-0.014349953,-0.76772594,-2.1683674,17.223003,-2,17
147,-0.6304193,0.3744948,0.21532074,0.7744652,0.61049265,0.8052492,-0.57585675,-0.72338545,-1.2802598,-0.01189751,-0.8996675,-3.3902683,15.907175,-3,15
148,-0.6708478,0.23174287,0.08746746,0.77196974,0.5335612,0.75131494,-0.6383097,-1.0914352,-1.4740727,-0.0054036663,-1.0877388,-4.9621687,15.002537,-4,15
149,-0.7149569,0.02337557,-0.05935533,0.7701014,0.43989176,0.68260896,-0.69906557,-1.5586958,-1.7163217,0.001873893,-1.333592,-6.4873953,14.294927,-6,14
150,-0.7626872,-0.24716525,-0.22349027,0.76882935,0.32730347,0.6243797,-0.75917095,-1.8826313,-1.8722667,0.007945935,-1.5782677,-7.16131,14.106316,-7,14
151,-0.8138136,-0.54026574,-0.39226973,0.7680374,0.19639912,0.59943336,-0.8118972,-1.8460616,-1.8234401,0.012674662,-1.7462162,-7.4614754,13.976597,-7,13
152,-0.8624517,-0.8097212,-0.550296,0.76771647,0.053754795,0.5310289,-0.52788275,-1.5917747,-1.6190871,0.020851418,-1.7462162,-7.756422,13.343013,-7,13
153,-0.8826926,-1.0169691,-0.6834049,0.7681495,-0.07306013,0.47854182,-0.025629705,-1.0387452,-1.2592883,0.026358198,-1.5413707,-8.552492,12.011009,-8,12
